LOCATION,Year,G20 Value,Education Value,GDP Value,LifeExp Value,Population Value,TotalFertilityRate(LiveBirthsPerWoman),InfantMortalityRate(InfantDeathsPer1000LiveBirths),Unemployment Value
Australia,1967,11.799078,,3447.128012,70.8,11.799078,2.85,18,1.875
Australia,1976,14.033083,,7396.879985,72.8,14.033083,2.06,13.6,4.75
Australia,1981,14.92326,,11956.491969,74.8,14.92326,1.94,10.4,5.783571
Australia,1982,15.184247,,11988.843953,74.6,15.184247,1.94,10.1,7.156132
Australia,1983,15.393472,,12781.125663,75.4,15.393472,1.93,9.7,9.961594
Australia,1984,15.579391,,13609.040018,75.7,15.579391,1.85,9.4,8.98968
Australia,1985,15.788312,,14514.107374,75.5,15.788312,1.92,9.8,8.262986
Australia,1986,16.01835,,14983.686193,76.0,16.01835,1.87,8.8,8.081038
Australia,1987,16.263874,,16053.05751,76.2,16.263874,1.85,9,8.10804
Australia,1988,16.532164,,17129.659482,76.2,16.532164,1.84,8.2,7.227954
Australia,1989,16.814416,34.140335,17835.122957,76.4,16.814416,1.84,8.5,6.179825
Australia,1990,17.065128,,17838.098144,76.9,17.065128,1.9,7.9,6.923
Australia,1991,17.284036,35.707539,18177.563681,77.3,17.284036,1.86,6.9,9.576522
Australia,1992,17.478635,,19157.690963,77.4,17.478635,1.89,6.9,10.72814
Australia,1993,17.634808,22.836517,20184.946005,77.9,17.634808,1.87,6,10.87467
Australia,1994,17.805468,23.624947,21432.775454,77.9,17.805468,1.85,6,9.72219
Australia,1995,18.004882,24.697142,22442.316842,77.8,18.004882,1.83,5.7,8.472281
Australia,1996,18.224767,,23289.401829,78.1,18.224767,1.81,5.7,8.506114
Australia,1997,18.423037,25.702168,24477.413795,78.4,18.423037,1.79,5.5,8.362488
Australia,1998,18.607584,28.139578,25708.263828,78.6,18.607584,1.77,5,7.677429
Australia,1999,18.812264,28.981586,27139.248201,78.9,18.812264,1.77,5.7,6.873791
Australia,2000,19.028802,31.372517,28312.859441,79.2,19.028802,1.77,5.1,6.285546
Australia,2001,19.274701,33.511932,29546.415014,79.6,19.274701,1.75,5.1,6.742173
Australia,2002,19.49521,35.797337,30807.514079,79.9,19.49521,1.77,5,6.368911
Australia,2003,19.720737,36.322815,32391.486238,80.2,19.720737,1.77,4.8,5.92842
Australia,2004,19.932722,36.168247,34000.173773,80.5,19.932722,1.79,4.7,5.396734
Australia,2005,20.176844,38.098312,35659.125487,80.8,20.176844,1.84,5.1,5.033881
Australia,2006,20.450966,38.804123,37938.792079,81.0,20.450966,1.88,4.8,4.78524
Australia,2007,20.827622,40.728859,39687.44861,81.3,20.827622,1.99,4.3,4.379151
Australia,2008,21.249199,41.99683,40130.341686,81.4,21.249199,2.02,4.3,4.23433
Australia,2009,21.691653,44.778488,41672.92375,81.5,21.691653,1.97,4.1,5.560385
Australia,2010,22.03175,44.374836,42816.42896,81.7,22.03175,1.95,4.1,5.21334
Australia,2011,22.340024,44.615528,44440.579478,81.9,22.340024,1.92,3.8,5.081195
Australia,2012,22.733465,47.231079,43884.635595,82.0,22.733465,1.93,3.3,5.223376
Australia,2013,23.128129,45.745182,47763.2159,82.1,23.128129,1.88,3.6,5.66194
Australia,2014,23.475686,48.13139,47606.754929,82.3,23.475686,1.81,3.4,6.077244
Australia,2015,23.815995,48.466274,47226.759745,82.4,23.815995,1.81,3.1,6.056423
Australia,2016,24.190907,49.30521,50136.798381,82.4,24.190907,1.8,3,5.710809
Australia,2017,24.594202,51.989063,50706.489861,82.5,24.594202,1.77,3.3,5.595881
Australia,2018,24.966643,51.393173,53025.386896,82.7,24.966643,1.79,3.1,5.30767
Australia,2019,25.340217,52.478458,52785.250556,82.9,25.340217,1.67,3,5.166878
Australia,2020,25.655289,54.614105,55772.741079,83.2,25.655289,1.59,2.9,6.463281
Australia,2021,25.688079,54.307404,62095.40433,83.3,25.688079,1.6,2.9,5.1136
Canada,1980,24.515667,,11701.442943,75.1,24.515667,1.74,10.6,7.55
Canada,1981,24.819915,30.579226,13086.821695,75.5,24.819915,1.7,9.6,7.633333
Canada,1982,25.116942,,13293.393286,75.7,25.116942,1.69,9.2,11.03333
Canada,1983,25.366451,,14034.005498,76.1,25.366451,1.68,8.6,12.03333
Canada,1984,25.607053,,15254.727065,76.4,25.607053,1.68,8.2,11.35
Canada,1985,25.842116,,16332.753021,76.4,25.842116,1.67,8,10.51667
Canada,1986,26.100278,,16850.728641,76.5,26.100278,1.66,7.9,9.6
Canada,1987,26.446601,,17735.380147,76.8,26.446601,1.65,7.3,8.833333
Canada,1988,26.791747,,18923.753758,76.9,26.791747,1.69,7.2,7.766667
Canada,1989,27.276781,,19763.483902,77.2,27.276781,1.76,7.2,7.566667
Canada,1990,27.691138,31.989466,20229.752821,77.5,27.691138,1.81,6.8,8.15
Canada,1991,28.03742,32.07547,20224.680598,77.7,28.03742,1.73,6.3,10.325
Canada,1992,28.371264,33.21056,20626.208981,77.9,28.371264,1.72,6,11.19167
Canada,1993,28.684764,34.487045,21440.052546,77.8,28.684764,1.7,6.2,11.4
Canada,1994,29.000663,38.123291,22632.831273,78.0,29.000663,1.7,6.2,10.41667
Canada,1995,29.302311,40.448719,23485.643444,78.1,29.302311,1.68,6,9.508333
Canada,1996,29.610218,42.239132,24050.176142,78.3,29.610218,1.64,5.5,9.608334
Canada,1997,29.905948,44.168514,25259.725362,78.5,29.905948,1.58,5.4,9.116667
Canada,1998,30.155173,45.555809,26319.930258,78.7,30.155173,1.56,5.2,8.283334
Canada,1999,30.401286,46.988796,27841.629576,78.9,30.401286,1.54,5.2,7.591667
Canada,2000,30.68573,48.400093,29362.289573,79.3,30.68573,1.49,5.1,6.816667
Canada,2001,31.020902,50.856735,30231.005032,79.5,31.020902,1.51,5.3,7.216667
Canada,2002,31.360079,51.629013,30963.222007,79.6,31.360079,1.5,5.4,7.675
Canada,2003,31.644028,53.179329,32350.070882,79.8,31.644028,1.53,5.3,7.575
Canada,2004,31.940655,53.197052,33925.89256,80.1,31.940655,1.53,5.2,7.191667
Canada,2005,32.243753,53.694931,36327.662059,80.2,32.243753,1.54,5.4,6.758333
Canada,2006,32.571174,54.622643,38120.176792,80.7,32.571174,1.59,5.1,6.466667
Canada,2007,32.889025,55.674667,39575.324973,80.7,32.889025,1.65,5.2,6.166667
Canada,2008,33.247118,55.619267,40376.330167,80.8,33.247118,1.68,5.1,6.291667
Canada,2009,33.628895,55.780476,38865.406022,81.2,33.628895,1.67,4.9,8.45
Canada,2010,34.004889,56.169838,40099.497886,81.4,34.004889,1.63,5,8.175
Canada,2011,34.339328,56.40131,41666.718851,81.6,34.339328,1.62,4.9,7.633333
Canada,2012,34.714222,57.056797,42290.879082,81.8,34.714222,1.62,4.8,7.4
Canada,2013,35.082954,57.603394,44298.514462,81.8,35.082954,1.59,4.9,7.15
Canada,2014,35.437435,57.725277,45753.782936,81.9,35.437435,1.59,4.7,7.033333
Canada,2015,35.702908,59.182831,44670.054374,81.9,35.702908,1.55,4.5,6.941667
Canada,2016,36.109487,60.582603,46472.368771,82.0,36.109487,1.54,4.5,7.025
Canada,2017,36.545236,60.916767,48317.191163,81.9,36.545236,1.54,4.5,6.425
Canada,2018,37.065084,61.754246,49992.811418,81.9,37.065084,1.5,4.6,5.841667
Canada,2019,37.60123,62.965115,49832.414539,82.3,37.60123,1.45,4.4,5.691667
